rank,indicator,display_name,signal_type,family,full_sharpe,full_cagr,full_win_rate,full_trades,full_max_dd,train_sharpe,train_win_rate,train_trades,test_sharpe,test_win_rate,test_trades,corr_with_ichimoku,signal_coverage,composite_score
1,lsma_viresearch,Lsma Viresearch,vii,,1.27,56.03,38.1,42,-53.14,1.36,40.7,27,1.02,33.3,15,0.315,97.5,0.6485563427907312
2,median_standard_deviation_viresearch,Median Standard Deviation Viresearch,vii,,1.59,73.16,37.7,53,-32.28,1.71,41.9,31,1.18,27.3,22,0.499,100.0,0.6206830856130778
3,adaptive_volatility_controlled_lsma_quantalgo,Adaptive Volatility Controlled Lsma Quantalgo,dir,,0.85,31.07,59.1,44,-68.87,0.83,59.4,32,0.97,58.3,12,0.117,98.4,0.6079285510327104
4,lsma_atr_viresearch,Lsma Atr Viresearch,vii,,0.89,33.15,41.7,48,-52.56,1.03,51.5,33,0.46,20.0,15,0.025,97.2,0.6031340494705784
5,quantile_dema_trend_quantedgeb,Quantile Dema Trend Quantedgeb,qb,,1.12,48.49,44.4,36,-68.18,1.24,41.7,24,0.7,41.7,12,0.348,99.9,0.5873880249339998
6,volume_trend_swing_points_viresearch,Volume Trend Swing Points Viresearch,vii,,1.15,50.42,48.1,27,-47.25,1.33,52.9,17,0.56,30.0,10,0.426,100.0,0.5824003678093358
7,p_motion_trend_quantedgeb,P Motion Trend Quantedgeb,qb,,1.1,46.48,53.1,32,-60.6,1.23,52.6,19,0.67,46.2,13,0.418,100.0,0.5799626290574942
8,polynomial_deviation_bands,Polynomial Deviation Bands,trend,,1.02,40.84,52.3,44,-50.81,1.03,46.7,30,1.01,57.1,14,0.366,99.6,0.5612287102794583
9,linear_st_quantedgeb,Linear St Quantedgeb,qb,,1.05,42.81,43.5,46,-59.28,1.14,45.2,31,0.75,33.3,15,0.349,100.0,0.5512627137182085
10,gaussian_smooth_trend_quantedgeb,Gaussian Smooth Trend Quantedgeb,qb,,1.19,49.6,45.7,35,-51.06,1.28,45.5,22,0.89,38.5,13,0.539,100.0,0.5463356716611478
11,dema_dmi_viresearch,Dema Dmi Viresearch,vii,,1.13,43.8,48.4,31,-46.44,1.32,52.9,17,0.49,35.7,14,0.576,99.5,0.5127591321970651
