time,layer_msvr,layer_msvr_bullish,layer_msvr_smooth,layer_smooth_bullish,layer_linear_reg,layer_cycle,layer_er,layer_volatility,layer_entropy,layer_volume,layer_hmm,core_signal,timing_pass,gate_votes,gates_pass,lr_confirm,entry_signal,position,btc_price
2018-01-01,-1.0,0,-1.0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,13506.63
2018-01-02,1.0,1,1.0,1,-1,-1,-1,-1,-1,1,-1,1,0,1,0,0,0,0,14835.27
2018-01-03,1.0,1,1.5620030822751332,1,-1,-1,-1,-1,-1,1,-1,1,0,1,0,0,0,0,14945.38
2018-01-04,-1.0,0,1.0525123300406851,1,-1,-1,-1,-1,-1,1,-1,0,0,1,0,0,0,0,14913.55
2018-01-05,1.0,1,0.45962595716533344,1,-1,-1,-1,-1,-1,1,-1,1,0,1,0,0,0,0,16851.53
2018-01-06,1.0,1,0.5239156189880745,1,-1,-1,-1,-1,-1,1,-1,1,0,1,0,0,0,0,16829.33
2018-01-07,1.0,1,0.7454029982627809,1,-1,-1,-1,-1,-1,1,-1,1,0,1,0,0,0,0,16333.65
2018-01-08,-1.0,0,0.4891446375352355,1,-1,-1,-1,-1,-1,1,-1,0,0,1,0,0,0,0,14893.38
2018-01-09,-1.0,0,-0.21914780065926817,0,-1,-1,-1,-1,-1,1,-1,0,0,1,0,0,0,0,14338.82
2018-01-10,-1.0,0,-0.7518224986711565,0,-1,-1,-1,-1,-1,1,-1,0,0,1,0,0,0,0,14427.53
2018-01-11,-1.0,0,-1.0075464796856861,0,-1,-1,-1,-1,-1,1,-1,0,0,1,0,0,0,0,13337.97
2018-01-12,-1.0,0,-1.0761808438840386,0,-1,-1,-1,-1,-1,1,-1,0,0,1,0,0,0,0,13699.2
2018-01-13,-1.0,0,-1.0629165668707794,0,-1,-1,-1,-1,-1,1,-1,0,0,1,0,0,0,0,14255.45
2018-01-14,-1.0,0,-1.0323062210910652,0,-1,-1,-1,-1,-1,1,-1,0,0,1,0,0,0,0,13508.2
2018-01-15,-1.0,0,-1.009900827221041,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,13817.3
2018-01-16,-1.0,0,-0.9993744401019489,0,-1,-1,1,-1,-1,-1,-1,0,1,0,0,0,0,0,11065.67
2018-01-17,-1.0,0,-0.9966837990559838,0,-1,-1,1,-1,-1,-1,-1,0,1,0,0,0,0,0,11115.03
2018-01-18,-1.0,0,-0.9973446749521451,0,-1,-1,1,-1,-1,-1,-1,0,1,0,0,0,0,0,11141.43
2018-01-19,-1.0,0,-0.9986649524565433,0,-1,-1,1,-1,-1,-1,-1,0,1,0,0,0,0,0,11357.64
2018-01-20,-1.0,0,-0.9996063931292365,0,-1,-1,1,-1,-1,-1,-1,0,1,0,0,0,0,0,12836.61
2018-01-21,-1.0,0,-1.0000391202083576,0,-1,-1,1,-1,-1,-1,-1,0,1,0,0,0,0,0,11330.31
2018-01-22,-1.0,0,-1.0001440018565875,0,-1,-1,1,-1,-1,-1,-1,0,1,0,0,0,0,0,10549.66
2018-01-23,-1.0,0,-1.0001119444814617,0,-1,-1,1,-1,-1,-1,-1,0,1,0,0,0,0,0,11081.26
2018-01-24,-1.0,0,-1.0000551045420703,0,-1,-1,1,-1,-1,-1,-1,0,1,0,0,0,0,0,11140.56
2018-01-25,-1.0,0,-1.0000155872990026,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,11208.03
2018-01-26,-1.0,0,-0.9999978227336443,0,-1,-1,1,-1,-1,-1,-1,0,1,0,0,0,0,0,10868.91
2018-01-27,-1.0,0,-0.999993761168289,0,-1,-1,1,-1,-1,-1,-1,0,1,0,0,0,0,0,11468.28
2018-01-28,-1.0,0,-0.9999952855973975,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,11740.81
2018-01-29,-1.0,0,-0.9999977283397257,0,-1,-1,1,-1,-1,1,-1,0,1,1,0,0,0,0,11138.81
