time,open,high,low,close,volume,ATR,tenkan_sen,kijun_sen,senkou_span_a_raw,senkou_span_b_raw,senkou_span_a,senkou_span_b,S_TK,S_Cloud,S_Future,S_Chikou,IMO,IMO_Std,ER,Entropy,roc_gate,cloud_max,cloud_min,Pos
2018-01-01,13956.67,14289.65,13181.97,13506.63,22671132825.67,,,,,,,,,0.0,,0.0,0.0,,,,0.0,,,0.0
2018-01-02,13502.4,15064.03,13201.67,14835.27,35127629897.31,,,,,,,,,0.0,,0.0,0.0,,,,0.0,,,0.0
2018-01-03,14827.41,15187.01,14791.05,14945.38,42185360561.6,,,,,,,,,0.0,,0.0,0.0,,,,0.0,,,0.0
2018-01-04,14954.72,15236.64,14380.81,14913.55,40761898216.31,,,,,,,,,0.0,,0.0,0.0,,,,0.0,,,0.0
2018-01-05,14881.33,16851.53,14281.53,16851.53,44943868820.0,,,,,,,,,0.0,,0.0,0.0,,,,0.0,,,0.0
2018-01-06,16886.62,16950.26,15991.73,16829.33,50201774023.05,,,,,,,,,0.0,,0.0,0.0,,,,0.0,,,0.0
2018-01-07,16909.02,16982.14,15881.76,16333.65,46198381520.65,,,,,,,,,0.0,,0.0,0.0,,,,0.0,,,0.0
2018-01-08,16323.43,16323.43,14280.35,14893.38,39009390543.32,,,,,,,,,0.0,,0.0,0.0,,,,0.0,,,0.0
2018-01-09,14911.03,15284.41,12436.67,14338.82,32792122436.19,,,,,,,,,0.0,,0.0,0.0,,,,0.0,,,0.0
2018-01-10,14362.11,14453.3,13770.49,14427.53,31015928923.4,,,,,,,,,0.0,,0.0,0.0,,,,0.0,,,0.0
2018-01-11,14428.64,14635.78,13335.59,13337.97,25654447051.19,,,,,,,,,0.0,,0.0,0.0,,,,0.0,,,0.0
2018-01-12,13333.02,13995.9,13111.17,13699.2,24247428369.73,,,,,,,,,0.0,,0.0,0.0,,,,0.0,,,0.0
2018-01-13,13721.24,14340.15,13719.42,14255.45,19538088505.44,,,,,,,,,0.0,,0.0,0.0,,,,0.0,,,0.0
2018-01-14,14255.92,14293.41,13345.17,13508.2,17900312014.67,,,,,,,,,0.0,,0.0,0.0,,,,0.0,,,0.0
2018-01-15,13526.21,14261.36,13526.21,13817.3,20662596120.69,,,,,,,,,0.0,,0.0,0.0,,0.034239758766588385,2.2322628970242686,0.0,,,0.0
2018-01-16,13811.23,13811.26,10474.28,11065.67,35665621978.08,,,,,,,,,0.0,,0.0,0.0,,0.3591340236043734,2.1492553971685,0.0,,,0.0
2018-01-17,11067.71,11444.65,9542.06,11115.03,26930863094.07,,,,,,,,,0.0,,0.0,0.0,,0.3670461046359531,2.022579761842491,0.0,,,0.0
2018-01-18,11111.58,11887.1,10831.76,11141.43,24791497431.01,,,,,,,,,0.0,,0.0,0.0,,0.361654353040887,2.022579761842491,0.0,,,0.0
2018-01-19,11201.04,11820.29,11109.06,11357.64,22300827033.21,,,,,,,,,0.0,,0.0,0.0,,0.6308717664877974,2.022579761842491,0.0,,,0.0
2018-01-20,11390.36,12887.78,11390.36,12836.61,18009038497.51,,13262.099999999999,,,,,,,0.0,,0.0,0.0,,0.39278399398731745,2.022579761842491,0.0,,,0.0
2018-01-21,12839.22,12839.22,11229.81,11330.31,13405365306.72,,13262.099999999999,,,,,,,0.0,,0.0,0.0,,0.44769412480538295,2.2825887305018333,0.0,,,0.0
2018-01-22,11335.83,11751.58,10442.0,10549.66,17218848628.41,,13262.099999999999,,,,,,,0.0,,0.0,0.0,,0.41305112693012086,2.2825887305018333,0.0,,,0.0
2018-01-23,10581.06,11193.24,10127.87,11081.26,16375434743.61,,13262.099999999999,,,,,,,0.0,,0.0,0.0,,0.3104442678224605,2.3068905956085186,0.0,,,0.0
2018-01-24,11079.67,11308.8,10625.22,11140.56,16577323769.09,,13262.099999999999,,,,,,,0.0,,0.0,0.0,,0.31412745453138013,2.2825887305018333,0.0,,,0.0
2018-01-25,11153.41,11594.23,11011.46,11208.03,15445922448.6,,13262.099999999999,,,,,,,0.0,,0.0,0.0,,0.22558813436534852,2.2825887305018333,0.0,,,0.0
2018-01-26,11202.45,11470.18,10475.49,10868.91,18647937801.81,,13262.099999999999,,,,,,,0.0,,0.0,0.0,,0.3004678537646464,2.206238928653389,0.0,,,0.0
2018-01-27,10870.73,11477.25,10869.41,11468.28,15794040759.79,,12932.744999999999,,,,,,,0.0,,0.0,0.0,,0.29454184997352767,2.206238928653389,0.0,,,0.0
2018-01-28,11458.21,11870.26,11412.96,11740.81,36451245753.71,,12413.235,,,,,,,0.0,,0.0,0.0,,0.19663863302332787,2.206238928653389,0.0,,,0.0
2018-01-29,11740.51,11743.98,11119.76,11138.81,21850145466.65,,12088.92,,,,,,,0.0,,0.0,0.0,,0.2886020875108151,2.206238928653389,0.0,,,0.0
2018-01-30,11138.74,11142.53,10121.83,10131.19,25273836050.37,,12088.92,,,,,,,0.0,,0.0,0.0,0.0,0.12398731573989298,2.289246428509158,0.0,,,0.0
2018-01-31,10127.81,10220.97,9777.27,9994.76,17881836966.99,,11941.105,,,,,,,0.0,,0.0,0.0,0.0,0.1469405047501499,2.3395722619867225,-0.2600108243136888,,,0.0
2018-02-01,10002.61,10109.89,8988.48,9095.86,21237963204.84,,11664.314999999999,,,,,,,0.0,,0.0,0.0,0.0,0.24075527836854593,2.415922063835166,-0.3868760056271304,,,0.0
2018-02-02,9098.01,9113.82,6681.69,7165.13,11586559408.3,,10487.55,,,,,,,0.0,,0.0,0.0,0.0,0.4105880037097283,2.3068905956085186,-0.5205789347611101,,,0.0
2018-02-03,7162.85,9339.77,7160.33,9129.56,7973177712.98,,10471.525,,,,,,,0.0,,0.0,0.0,0.0,0.3465682539534145,2.2256051990169436,-0.3878345531412709,,,0.0
2018-02-04,9130.92,9169.55,8035.27,8300.45,8481618265.77,,10246.475,,,,,,,0.0,,0.0,0.0,0.0,0.30240357072278784,1.965596230357602,-0.5074364167526627,,,0.0
2018-02-05,8296.44,8296.44,6690.16,7169.48,14041748793.18,,9784.735,,,,,,,0.0,,0.0,0.0,0.0,0.32597077220099563,2.0922718656836103,-0.5739889823302533,,,0.0
2018-02-06,7169.16,7854.37,6212.41,7662.5,12868975475.97,,9550.095000000001,,,,,,,0.0,,0.0,0.0,0.0,0.3309224663633724,2.1492553971684996,-0.5308764421914269,,,0.0
2018-02-07,7672.07,8497.82,7279.46,7682.96,9214849386.05,,9550.095000000001,,,,,,,0.0,,0.0,0.0,0.0,0.33594503000342,2.072905595320056,-0.48413590467711154,,,0.0
2018-02-08,7655.89,8516.89,7654.65,8233.98,9643562583.76,,9550.095000000001,,,,,,,0.0,,0.0,0.0,0.0,0.27599573485181034,2.1492553971684996,-0.42575609429506756,,,0.0
2018-02-09,8220.47,8695.61,7865.47,8531.35,9387066104.64,,9525.814999999999,,,,,,,0.0,,0.0,0.0,0.0,0.21777237850709336,2.1735572622751853,-0.4086756360929418,,,0.0
2018-02-10,8536.73,9003.49,8229.63,8518.34,13252687115.1,,9041.335,,,,,,,0.0,,0.0,0.0,0.0,0.29070322046592306,2.1735572622751853,-0.3613465917227284,,,0.0
2018-02-11,8519.6,8519.6,7865.36,8302.25,11463153141.54,,9041.335,,,,,,,0.0,,0.0,0.0,0.0,0.3407497255023208,2.1492553971684996,-0.39396096122401314,,,0.0
2018-02-12,8304.92,8913.42,8120.52,8913.42,14462632642.88,,9041.335,,,,,,,0.0,,0.0,0.0,0.0,0.22032844471418256,2.1735572622751853,-0.3747359781697527,,,0.0
2018-02-13,8910.65,8910.84,8416.84,8527.34,11698531820.03,,9041.335,,,,,,,0.0,,0.0,0.0,0.0,0.16920408617555618,2.1492553971684996,-0.3687286240949942,,,0.0
2018-02-14,8522.07,9451.84,8519.82,9446.19,13962104148.33,,9041.335,,,,,,,0.0,,0.0,0.0,0.0,0.05346055679593339,2.0922718656836103,-0.3163505171053679,,,0.0
