combination,n_filters,gate_threshold,train_sharpe,train_win_rate,train_trades,train_cagr,train_max_dd,test_sharpe,test_win_rate,test_trades,test_cagr,test_max_dd,sharpe_degradation
msvr_direction+lr_direction+regime_direction,3,3,1.17,71.4,7,44.78,-57.01,0.53,100.0,2,7.94,-12.91,-54.7
msvr_direction+lr_direction,2,2,0.98,55.6,9,38.12,-57.07,0.5,50.0,4,9.22,-20.71,-49.0
msvr_direction+lr_direction+entropy_gate,3,3,0.98,55.6,9,38.12,-57.07,0.5,50.0,4,9.22,-20.71,-49.0
msvr_direction+cycle_direction+entropy_gate,3,3,0.96,50.0,10,37.09,-57.76,0.5,50.0,4,9.41,-19.45,-47.9
msvr_direction+smooth_direction+cycle_direction,3,3,0.96,50.0,10,37.09,-57.76,0.5,50.0,4,9.41,-19.45,-47.9
msvr_direction+cycle_direction,2,2,0.96,50.0,10,37.09,-57.76,0.5,50.0,4,9.41,-19.45,-47.9
msvr_direction+smooth_direction+lr_direction,3,3,0.98,55.6,9,38.12,-57.07,0.5,50.0,4,9.22,-20.71,-49.0
msvr_direction+lr_direction+vol_direction,3,3,0.76,55.6,9,24.56,-59.38,0.5,50.0,4,9.22,-20.71,-34.2
msvr_direction+lr_direction+volume_direction,3,3,0.91,55.6,9,34.11,-57.07,0.48,50.0,4,8.72,-20.71,-47.3
msvr_direction+cycle_direction+volume_direction,3,3,0.91,55.6,9,34.03,-58.15,0.48,50.0,4,8.91,-20.36,-47.3
msvr_direction+lr_direction+cycle_direction+bb_filter,4,4,0.89,55.6,9,32.57,-61.25,0.44,50.0,4,7.85,-21.61,-50.6
msvr_direction+smooth_direction+lr_direction+cycle_direction,4,4,0.89,55.6,9,32.52,-61.25,0.44,50.0,4,7.69,-21.61,-50.6
msvr_direction+lr_direction+cycle_direction+vol_direction,4,4,0.7,55.6,9,21.41,-59.43,0.44,50.0,4,7.69,-21.61,-37.1
msvr_direction+lr_direction+cycle_direction+entropy_gate,4,4,0.89,55.6,9,32.52,-61.25,0.44,50.0,4,7.69,-21.61,-50.6
msvr_direction+lr_direction+cycle_direction,3,3,0.89,55.6,9,32.52,-61.25,0.44,50.0,4,7.69,-21.61,-50.6
msvr_direction+trend_filter+bb_filter,3,2,1.16,60.0,10,51.13,-57.07,0.39,40.0,5,7.07,-24.39,-66.4
msvr_direction+cycle_direction+trend_filter,3,2,1.09,60.0,10,46.59,-57.66,0.38,40.0,5,6.91,-24.39,-65.1
msvr_direction+trend_filter,2,1,1.14,60.0,10,49.85,-57.66,0.38,40.0,5,6.91,-24.39,-66.7
msvr_direction+cycle_direction+regime_direction,3,2,1.15,60.0,10,50.42,-57.76,0.35,40.0,5,5.91,-24.39,-69.6
msvr_direction+smooth_direction+lr_direction+trend_filter,4,2,1.13,70.0,10,50.08,-57.66,0.35,40.0,5,6.05,-24.39,-69.0
msvr_direction+smooth_direction,2,1,1.01,54.5,11,42.69,-57.66,0.33,40.0,5,5.45,-24.39,-67.3
msvr_direction+lr_direction+regime_direction,3,2,1.18,66.7,9,51.61,-57.07,0.31,40.0,5,4.83,-24.39,-73.7
msvr_direction+cycle_direction+regime_direction,3,3,1.21,71.4,7,46.65,-57.01,0.31,66.7,3,4.19,-17.55,-74.4
msvr_direction+smooth_direction+lr_direction+cycle_direction,4,3,0.97,60.0,10,38.59,-57.76,0.29,40.0,5,4.24,-24.39,-70.1
msvr_direction+lr_direction+cycle_direction+trend_filter,4,3,0.93,60.0,10,35.84,-60.8,0.29,40.0,5,4.24,-24.39,-68.8
msvr_direction+smooth_direction+lr_direction+trend_filter,4,3,1.02,50.0,10,41.47,-57.07,0.29,40.0,5,4.35,-24.39,-71.6
msvr_direction+smooth_direction+lr_direction,3,2,1.06,60.0,10,44.72,-57.66,0.29,40.0,5,4.35,-24.39,-72.6
msvr_direction+lr_direction+trend_filter,3,2,1.08,60.0,10,45.85,-57.07,0.29,40.0,5,4.35,-24.39,-73.1
msvr_direction+smooth_direction+cycle_direction,3,2,0.99,54.5,11,41.02,-57.66,0.27,40.0,5,3.76,-24.39,-72.7
msvr_direction+smooth_direction,2,2,1.06,50.0,10,44.39,-57.66,0.25,40.0,5,3.22,-26.4,-76.4
msvr_direction+vol_direction,2,2,0.77,50.0,10,25.61,-58.14,0.25,40.0,5,3.22,-26.4,-67.5
smooth_direction+lr_direction,2,2,1.02,66.7,9,41.6,-57.07,0.25,40.0,5,3.08,-24.39,-75.5
msvr_direction+entropy_gate,2,2,1.06,50.0,10,44.39,-57.66,0.25,40.0,5,3.22,-26.4,-76.4
msvr_direction+lr_direction+volume_direction,3,2,1.01,60.0,10,41.71,-59.63,0.24,50.0,4,3.03,-34.41,-76.2
smooth_direction+cycle_direction,2,2,0.92,54.5,11,36.44,-57.76,0.23,40.0,5,2.68,-24.39,-75.0
msvr_direction+cycle_direction+volume_direction,3,2,1.0,54.5,11,41.41,-57.76,0.21,40.0,5,2.11,-34.98,-79.0
lr_direction+trend_filter+bb_filter,3,2,1.05,63.6,11,45.33,-57.07,0.15,40.0,5,0.29,-31.9,-85.7
msvr_direction+entropy_gate,2,1,1.04,63.6,11,44.94,-57.66,0.13,40.0,5,-0.37,-31.9,-87.5
lr_direction+cycle_direction,2,1,1.0,63.6,11,42.23,-57.66,0.13,40.0,5,-0.37,-31.9,-87.0
lr_direction+entropy_gate,2,1,1.04,63.6,11,44.94,-57.66,0.13,40.0,5,-0.37,-31.9,-87.5
msvr_direction+vol_direction,2,1,1.04,63.6,11,44.94,-57.66,0.13,40.0,5,-0.37,-31.9,-87.5
msvr_direction+lr_direction+cycle_direction+bb_filter,4,2,1.06,63.6,11,46.06,-57.66,0.13,40.0,5,-0.37,-31.9,-87.7
msvr_direction+lr_direction+cycle_direction+vol_direction,4,2,1.0,63.6,11,42.23,-57.66,0.13,40.0,5,-0.37,-31.9,-87.0
msvr_direction+lr_direction+cycle_direction+entropy_gate,4,2,1.05,63.6,11,45.21,-57.66,0.13,40.0,5,-0.37,-31.9,-87.6
lr_direction+vol_direction,2,1,0.99,63.6,11,41.7,-58.14,0.13,40.0,5,-0.37,-31.9,-86.9
lr_direction+trend_filter,2,1,1.05,63.6,11,45.27,-57.07,0.13,40.0,5,-0.37,-31.9,-87.6
