date,regime,composite_score
2018-01-01,Bear,-1.0543
2018-01-02,Bear,-1.178
2018-01-03,Bear,-1.1795
2018-01-04,Bear,-1.1653
2018-01-05,Bear,-1.2751
2018-01-06,Bear,-1.326
2018-01-07,Bear,-1.2285
2018-01-08,Bear,-1.0987
2018-01-09,Bear,-1.0454
2018-01-10,Bear,-1.0526
2018-01-11,Bear,-0.9763
2018-01-12,Bear,-1.0019
2018-01-13,Bear,-1.1031
2018-01-14,Bear,-0.985
2018-01-15,Bear,-0.9835
2018-01-16,Bear,-0.8057
2018-01-17,Bear,-0.7812
2018-01-18,Bear,-0.7943
2018-01-19,Bear,-0.7759
2018-01-20,Bear,-0.9934
2018-01-21,Bear,-0.8007
2018-01-22,Bear,-0.7213
2018-01-23,Bear,-0.7603
2018-01-24,Bear,-0.7762
2018-01-25,Bear,-0.7411
2018-01-26,Bear,-0.7457
2018-01-27,Bear,-0.8588
2018-01-28,Bear,-0.774
2018-01-29,Bear,-0.7442
2018-01-30,Bear,-0.6012
2018-01-31,Bear,-0.6274
2018-02-01,Neutral,-0.2495
2018-02-02,Neutral,-0.1151
2018-02-03,Neutral,-0.333
2018-02-04,Neutral,-0.1985
2018-02-05,Neutral,-0.0046
2018-02-06,Neutral,-0.1127
2018-02-07,Neutral,-0.106
2018-02-08,Neutral,-0.1992
2018-02-09,Neutral,-0.1842
2018-02-10,Neutral,-0.2429
2018-02-11,Neutral,-0.1898
2018-02-12,Neutral,-0.1992
2018-02-13,Neutral,-0.1783
2018-02-14,Neutral,-0.2668
2018-02-15,Neutral,-0.3799
2018-02-16,Neutral,-0.4034
2018-02-17,Bear,-0.5072
2018-02-18,Neutral,-0.4656
2018-02-19,Bear,-0.5035
2018-02-20,Bear,-0.5448
2018-02-21,Neutral,-0.4629
2018-02-22,Neutral,-0.4053
2018-02-23,Neutral,-0.3874
2018-02-24,Neutral,-0.3362
2018-02-25,Neutral,-0.3285
2018-02-26,Neutral,-0.3786
2018-02-27,Neutral,-0.4587
2018-02-28,Neutral,-0.3299
2018-03-01,Neutral,-0.4565
2018-03-02,Neutral,-0.4483
2018-03-03,Bear,-0.4831
2018-03-04,Bear,-0.4697
2018-03-05,Bear,-0.4517
2018-03-06,Neutral,-0.3791
2018-03-07,Neutral,-0.324
2018-03-08,Neutral,-0.2537
2018-03-09,Neutral,-0.266
2018-03-10,Neutral,-0.2278
2018-03-11,Neutral,-0.249
2018-03-12,Neutral,-0.2378
2018-03-13,Neutral,-0.2284
2018-03-14,Neutral,-0.0956
2018-03-15,Neutral,-0.1296
2018-03-16,Neutral,-0.1395
2018-03-17,Neutral,-0.0926
2018-03-18,Neutral,-0.1029
2018-03-19,Neutral,-0.0935
2018-03-20,Neutral,-0.1688
2018-03-21,Neutral,-0.1466
2018-03-22,Neutral,-0.1205
2018-03-23,Neutral,-0.1324
2018-03-24,Neutral,-0.0858
2018-03-25,Neutral,-0.0765
2018-03-26,Neutral,-0.0176
2018-03-27,Neutral,0.0233
2018-03-28,Neutral,-0.0018
2018-03-29,Neutral,0.1577
2018-03-30,Neutral,0.2827
2018-03-31,Neutral,0.1707
2018-04-01,Bull,0.2803
2018-04-02,Neutral,0.2533
2018-04-03,Neutral,0.1072
2018-04-04,Bull,0.2996
2018-04-05,Bull,0.254
2018-04-06,Bull,0.3427
2018-04-07,Neutral,0.2787
2018-04-08,Neutral,0.2623
2018-04-09,Bull,0.2585
2018-04-10,Bull,0.3364
2018-04-11,Neutral,0.2002
2018-04-12,Neutral,0.1064
2018-04-13,Neutral,0.0818
2018-04-14,Neutral,-0.037
2018-04-15,Neutral,-0.1123
2018-04-16,Neutral,0.0329
2018-04-17,Neutral,0.1329
2018-04-18,Neutral,0.0715
2018-04-19,Neutral,-0.0126
2018-04-20,Neutral,-0.0077
2018-04-21,Neutral,0.0444
2018-04-22,Neutral,-0.0123
2018-04-23,Neutral,-0.019
2018-04-24,Neutral,0.0379
2018-04-25,Neutral,0.0177
2018-04-26,Neutral,-0.0623
2018-04-27,Neutral,0.0748
2018-04-28,Neutral,0.1249
2018-04-29,Neutral,0.1156
2018-04-30,Neutral,0.0389
2018-05-01,Neutral,0.099
2018-05-02,Neutral,-0.0
2018-05-03,Neutral,0.0471
2018-05-04,Neutral,0.0285
2018-05-05,Neutral,0.1096
2018-05-06,Neutral,0.0862
2018-05-07,Neutral,0.1063
2018-05-08,Neutral,0.1014
2018-05-09,Neutral,0.0878
2018-05-10,Neutral,0.0124
2018-05-11,Neutral,0.1998
2018-05-12,Neutral,0.2064
2018-05-13,Neutral,0.1875
2018-05-14,Neutral,0.073
2018-05-15,Neutral,0.2016
2018-05-16,Neutral,0.2591
2018-05-17,Neutral,0.1432
2018-05-18,Neutral,0.2918
2018-05-19,Neutral,0.264
2018-05-20,Neutral,0.1947
2018-05-21,Neutral,0.1665
2018-05-22,Neutral,0.2833
2018-05-23,Neutral,0.3403
2018-05-24,Neutral,0.3095
2018-05-25,Neutral,0.395
2018-05-26,Bull,0.5025
2018-05-27,Bull,0.4239
2018-05-28,Bull,0.4772
2018-05-29,Neutral,0.4427
2018-05-30,Neutral,0.4256
2018-05-31,Neutral,0.4411
2018-06-01,Neutral,0.4432
2018-06-02,Bull,0.4546
2018-06-03,Neutral,0.349
2018-06-04,Neutral,0.4338
2018-06-05,Neutral,0.4907
2018-06-06,Neutral,0.4214
2018-06-07,Neutral,0.4587
2018-06-08,Neutral,0.4719
2018-06-09,Bull,0.5787
2018-06-10,Bull,0.6182
2018-06-11,Bull,0.6433
2018-06-12,Bull,0.7138
2018-06-13,Bull,0.6918
2018-06-14,Bull,0.7205
2018-06-15,Bull,0.7542
2018-06-16,Bull,0.7221
2018-06-17,Bull,0.7119
2018-06-18,Bull,0.6776
2018-06-19,Bull,0.7146
2018-06-20,Bull,0.7063
2018-06-21,Bull,0.5482
2018-06-22,Bull,0.8282
2018-06-23,Bull,0.8585
2018-06-24,Bull,0.791
2018-06-25,Bull,0.8055
2018-06-26,Bull,0.7429
2018-06-27,Bull,0.8194
2018-06-28,Bull,0.8643
2018-06-29,Bull,0.8083
2018-06-30,Bull,0.8461
2018-07-01,Bull,0.7131
2018-07-02,Bull,0.6773
2018-07-03,Bull,0.7405
2018-07-04,Bull,0.6422
2018-07-05,Bull,0.7651
2018-07-06,Bull,0.734
2018-07-07,Bull,0.775
2018-07-08,Bull,0.7256
2018-07-09,Bull,0.7271
2018-07-10,Bull,0.7489
2018-07-11,Bull,0.7882
2018-07-12,Bull,0.8387
2018-07-13,Bull,0.8302
2018-07-14,Bull,0.8659
2018-07-15,Bull,0.7149
2018-07-16,Bull,0.6585
2018-07-17,Bull,0.6421
2018-07-18,Bull,0.6694
2018-07-19,Bull,0.5697
2018-07-20,Bull,0.6184
2018-07-21,Bull,0.6242
2018-07-22,Bull,0.554
2018-07-23,Bull,0.5465
2018-07-24,Neutral,0.5078
2018-07-25,Neutral,0.4849
2018-07-26,Neutral,0.5483
2018-07-27,Neutral,0.4653
2018-07-28,Bull,0.5216
2018-07-29,Neutral,0.5226
2018-07-30,Neutral,0.4901
2018-07-31,Neutral,0.507
2018-08-01,Bull,0.5296
2018-08-02,Bull,0.5779
2018-08-03,Bull,0.6284
2018-08-04,Bull,0.7344
2018-08-05,Bull,0.6454
2018-08-06,Bull,0.6986
2018-08-07,Bull,0.7287
2018-08-08,Bull,0.7783
2018-08-09,Bull,0.7683
2018-08-10,Bull,0.7488
2018-08-11,Bull,0.875
2018-08-12,Bull,0.7831
2018-08-13,Bull,0.7236
2018-08-14,Bull,0.8432
2018-08-15,Bull,0.8315
2018-08-16,Bull,0.7386
2018-08-17,Bull,0.6921
2018-08-18,Bull,0.8898
2018-08-19,Bull,0.6587
2018-08-20,Bull,0.7598
2018-08-21,Bull,0.7244
2018-08-22,Bull,0.7459
2018-08-23,Bull,0.7041
2018-08-24,Bull,0.7396
2018-08-25,Bull,0.7458
2018-08-26,Bull,0.6624
2018-08-27,Bull,0.6561
2018-08-28,Bull,0.6422
2018-08-29,Bull,0.6271
2018-08-30,Bull,0.6483
2018-08-31,Bull,0.766
2018-09-01,Bull,0.7279
2018-09-02,Bull,0.6551
2018-09-03,Bull,0.7504
2018-09-04,Bull,0.7395
2018-09-05,Bull,0.8182
2018-09-06,Bull,0.8301
2018-09-07,Bull,0.8784
2018-09-08,Bull,0.9659
2018-09-09,Bull,0.8375
2018-09-10,Bull,0.793
2018-09-11,Bull,0.9031
2018-09-12,Bull,0.8961
2018-09-13,Bull,0.8353
2018-09-14,Bull,0.8263
2018-09-15,Bull,0.9113
2018-09-16,Bull,0.8201
2018-09-17,Bull,0.8262
2018-09-18,Bull,0.8978
2018-09-19,Bull,0.8676
2018-09-20,Bull,0.8629
2018-09-21,Bull,0.8367
2018-09-22,Bull,0.9081
2018-09-23,Bull,0.7631
2018-09-24,Bull,0.8235
2018-09-25,Bull,0.8791
2018-09-26,Bull,0.8448
2018-09-27,Bull,0.8149
2018-09-28,Bull,0.7718
2018-09-29,Bull,0.942
2018-09-30,Bull,0.8121
2018-10-01,Bull,0.8728
2018-10-02,Bull,0.8441
2018-10-03,Bull,0.8698
2018-10-04,Bull,0.8768
2018-10-05,Bull,0.8502
2018-10-06,Bull,0.9129
2018-10-07,Bull,0.8561
2018-10-08,Bull,0.7813
2018-10-09,Bull,0.8057
2018-10-10,Bull,0.8056
2018-10-11,Bull,0.933
2018-10-12,Bull,0.8705
2018-10-13,Bull,0.9956
2018-10-14,Bull,0.9237
2018-10-15,Bull,0.8705
2018-10-16,Bull,0.8819
2018-10-17,Bull,0.8928
2018-10-18,Bull,0.9012
2018-10-19,Bull,0.7955
2018-10-20,Bull,0.9722
2018-10-21,Bull,0.8636
2018-10-22,Bull,0.8627
2018-10-23,Bull,0.8766
2018-10-24,Bull,0.892
2018-10-25,Bull,0.8972
2018-10-26,Bull,0.8842
2018-10-27,Bull,0.9567
2018-10-28,Bull,0.8856
2018-10-29,Bull,0.8784
2018-10-30,Bull,0.9082
