date,position,btc_price
2018-01-01,0.0,13506.63
2018-01-02,0.0,14835.27
2018-01-03,0.0,14945.38
2018-01-04,0.0,14913.55
2018-01-05,0.0,16851.53
2018-01-06,0.0,16829.33
2018-01-07,0.0,16333.65
2018-01-08,0.0,14893.38
2018-01-09,0.0,14338.82
2018-01-10,0.0,14427.53
2018-01-11,0.0,13337.97
2018-01-12,0.0,13699.2
2018-01-13,0.0,14255.45
2018-01-14,0.0,13508.2
2018-01-15,0.0,13817.3
2018-01-16,0.0,11065.67
2018-01-17,0.0,11115.03
2018-01-18,0.0,11141.43
2018-01-19,0.0,11357.64
2018-01-20,0.0,12836.61
2018-01-21,0.0,11330.31
2018-01-22,0.0,10549.66
2018-01-23,0.0,11081.26
2018-01-24,0.0,11140.56
2018-01-25,0.0,11208.03
2018-01-26,0.0,10868.91
2018-01-27,0.0,11468.28
2018-01-28,0.0,11740.81
2018-01-29,0.0,11138.81
2018-01-30,0.0,10131.19
2018-01-31,0.0,9994.76
2018-02-01,0.0,9095.86
2018-02-02,0.0,7165.13
2018-02-03,0.0,9129.56
2018-02-04,0.0,8300.45
2018-02-05,0.0,7169.48
2018-02-06,0.0,7662.5
2018-02-07,0.0,7682.96
2018-02-08,0.0,8233.98
2018-02-09,0.0,8531.35
2018-02-10,0.0,8518.34
2018-02-11,0.0,8302.25
2018-02-12,0.0,8913.42
2018-02-13,0.0,8527.34
2018-02-14,0.0,9446.19
2018-02-15,0.0,10099.54
2018-02-16,0.0,10200.59
2018-02-17,0.0,11074.6
2018-02-18,0.0,10471.06
2018-02-19,0.0,11123.15
2018-02-20,0.0,11347.32
2018-02-21,0.0,10457.0
2018-02-22,0.0,9897.47
2018-02-23,0.0,10118.07
2018-02-24,0.0,9662.37
2018-02-25,0.0,9605.77
2018-02-26,0.0,10293.2
2018-02-27,0.0,10688.46
2018-02-28,0.0,10522.72
2018-03-01,0.0,10949.78
2018-03-02,0.0,11025.98
2018-03-03,0.0,11410.49
2018-03-04,0.0,11459.99
2018-03-05,0.0,11588.13
2018-03-06,0.0,10694.91
2018-03-07,0.0,9935.86
2018-03-08,0.0,9330.9
2018-03-09,0.0,9236.99
2018-03-10,0.0,8803.84
2018-03-11,0.0,9526.92
2018-03-12,0.0,9138.26
2018-03-13,0.0,9147.18
2018-03-14,0.0,8223.4
2018-03-15,0.0,8267.39
2018-03-16,0.0,8509.42
2018-03-17,0.0,7910.54
2018-03-18,0.0,8201.3
2018-03-19,0.0,8511.3
2018-03-20,0.0,8915.9
2018-03-21,0.0,8873.61
2018-03-22,0.0,8708.87
2018-03-23,0.0,8711.45
2018-03-24,0.0,8623.88
2018-03-25,0.0,8595.88
2018-03-26,0.0,8174.66
2018-03-27,0.0,7927.86
2018-03-28,0.0,7947.73
2018-03-29,0.0,7155.45
2018-03-30,0.0,6826.63
2018-03-31,0.0,6931.09
2018-04-01,0.0,6804.1
2018-04-02,0.0,7013.81
2018-04-03,0.0,7421.72
2018-04-04,0.0,6766.14
2018-04-05,0.0,6799.85
2018-04-06,0.0,6610.95
2018-04-07,0.0,6918.15
2018-04-08,0.0,7007.6
2018-04-09,0.0,6709.86
2018-04-10,0.0,6832.21
2018-04-11,0.0,6925.21
2018-04-12,0.0,7854.43
2018-04-13,0.0,7937.94
2018-04-14,0.0,8039.27
2018-04-15,0.0,8323.93
2018-04-16,0.0,8036.98
2018-04-17,0.0,7873.12
2018-04-18,0.0,8159.4
2018-04-19,0.0,8276.73
2018-04-20,0.0,8815.77
2018-04-21,0.0,8812.75
2018-04-22,0.0,8816.19
2018-04-23,0.0,8915.86
2018-04-24,0.0,9572.15
2018-04-25,0.0,9115.79
2018-04-26,0.0,9214.02
2018-04-27,0.0,9019.22
2018-04-28,0.0,9335.98
2018-04-29,0.0,9405.87
2018-04-30,0.0,9223.89
2018-05-01,0.0,9092.06
2018-05-02,0.0,9223.28
2018-05-03,0.0,9745.35
2018-05-04,0.0,9671.86
2018-05-05,0.0,9798.02
2018-05-06,0.0,9577.45
2018-05-07,0.0,9333.71
2018-05-08,0.0,9221.75
2018-05-09,0.0,9308.7
2018-05-10,0.0,9097.71
2018-05-11,0.0,8421.18
2018-05-12,0.0,8495.41
2018-05-13,0.0,8712.61
2018-05-14,0.0,8670.47
2018-05-15,0.0,8495.75
2018-05-16,0.0,8316.24
2018-05-17,0.0,8044.28
2018-05-18,0.0,8227.63
2018-05-19,0.0,8224.61
2018-05-20,0.0,8516.04
2018-05-21,0.0,8413.03
2018-05-22,0.0,8016.94
2018-05-23,0.0,7505.59
2018-05-24,0.0,7587.03
2018-05-25,0.0,7417.37
2018-05-26,0.0,7329.4
2018-05-27,0.0,7333.12
2018-05-28,0.0,7107.25
2018-05-29,0.0,7437.02
2018-05-30,0.0,7354.2
2018-05-31,0.0,7484.83
2018-06-01,0.0,7505.36
2018-06-02,0.0,7624.59
2018-06-03,0.0,7678.93
2018-06-04,0.0,7497.26
2018-06-05,0.0,7596.35
2018-06-06,0.0,7663.27
2018-06-07,0.0,7669.05
2018-06-08,0.0,7618.71
2018-06-09,0.0,7591.05
2018-06-10,0.0,6718.01
2018-06-11,0.0,6786.01
2018-06-12,0.0,6527.65
2018-06-13,0.0,6303.71
2018-06-14,0.0,6629.29
2018-06-15,0.0,6421.68
2018-06-16,0.0,6490.03
2018-06-17,0.0,6464.28
2018-06-18,0.0,6689.49
2018-06-19,0.0,6740.13
2018-06-20,0.0,6752.45
2018-06-21,0.0,6700.6
2018-06-22,0.0,6080.22
2018-06-23,0.0,6173.53
2018-06-24,0.0,6158.55
2018-06-25,0.0,6238.91
2018-06-26,0.0,6131.94
2018-06-27,0.0,6160.69
2018-06-28,0.0,5917.1
2018-06-29,0.0,6238.83
2018-06-30,0.0,6348.65
2018-07-01,0.0,6383.76
2018-07-02,0.0,6620.09
2018-07-03,0.0,6599.68
2018-07-04,0.0,6670.32
2018-07-05,0.0,6532.12
2018-07-06,0.0,6601.96
2018-07-07,0.0,6761.83
2018-07-08,0.0,6698.35
2018-07-09,0.0,6684.58
2018-07-10,0.0,6367.68
2018-07-11,0.0,6381.34
2018-07-12,0.0,6165.64
2018-07-13,0.0,6213.18
2018-07-14,0.0,6242.49
2018-07-15,0.0,6366.2
2018-07-16,0.0,6681.54
2018-07-17,0.0,7327.13
2018-07-18,0.0,7353.21
2018-07-19,0.0,7484.1
2018-07-20,0.0,7327.9
