strategy,combination,filters,gate_threshold,train_sharpe,train_win_rate,train_trades,train_cagr,train_max_dd,test_sharpe,test_win_rate,test_trades,test_cagr,test_max_dd,sharpe_degradation
MAJORITY_3,msvr_direction+smooth_direction+cycle_direction,msvr_direction+smooth_direction+cycle_direction,2,1.23,39.3,84,61.66,-61.26,1.15,52.6,38,39.07,-26.0,-6.5
MAJORITY_3,msvr_direction+cycle_direction+entropy_gate,msvr_direction+cycle_direction+entropy_gate,2,0.81,41.4,70,35.31,-64.02,1.0,48.1,27,38.43,-35.15,23.5
MAJORITY,msvr_direction+smooth_direction,msvr_direction+smooth_direction,2,1.5,40.0,45,74.35,-28.7,0.97,42.3,26,27.32,-26.41,-35.3
MAJORITY_3,msvr_direction+smooth_direction+lr_direction,msvr_direction+smooth_direction+lr_direction,3,1.56,50.0,38,74.04,-39.73,0.83,33.3,24,19.97,-24.56,-46.8
MAJORITY_3,msvr_direction+cycle_direction+trend_filter,msvr_direction+cycle_direction+trend_filter,2,1.04,45.1,51,46.28,-50.65,0.82,53.6,28,26.24,-30.38,-21.2
OR,ichimoku_or_er_gate,er_gate,1,0.85,45.0,111,39.81,-65.56,0.81,66.7,54,28.34,-40.89,-4.7
AND,ichimoku+volume_direction,volume_direction,1,0.96,35.3,34,33.97,-53.44,0.79,54.5,11,14.59,-16.53,-17.7
AND,ichimoku+msvr_direction,msvr_direction,1,1.72,71.4,14,77.9,-25.65,0.75,33.3,12,13.91,-15.43,-56.4
MAJORITY,msvr_direction+entropy_gate,msvr_direction+entropy_gate,3,1.72,71.4,14,77.9,-25.65,0.75,33.3,12,13.91,-15.43,-56.4
MAJORITY_3,msvr_direction+smooth_direction+lr_direction,msvr_direction+smooth_direction+lr_direction,2,1.13,35.7,42,51.92,-51.59,0.75,36.4,22,21.72,-30.51,-33.6
MAJORITY,msvr_direction+entropy_gate,msvr_direction+entropy_gate,2,1.16,30.8,26,57.61,-59.21,0.71,28.6,14,21.07,-32.94,-38.8
OR,ichimoku_or_cycle_direction,cycle_direction,1,0.65,51.3,78,22.79,-68.63,0.64,53.1,32,18.25,-36.88,-1.5
MAJORITY,cycle_direction+entropy_gate,cycle_direction+entropy_gate,2,0.65,51.3,78,22.79,-68.63,0.64,53.1,32,18.25,-36.88,-1.5
MAJORITY_3,msvr_direction+cycle_direction+vol_direction,msvr_direction+cycle_direction+vol_direction,3,1.2,57.3,82,45.92,-36.72,0.63,41.4,29,13.06,-21.89,-47.5
MAJORITY,smooth_direction+cycle_direction,smooth_direction+cycle_direction,2,0.96,42.9,105,39.26,-61.34,0.63,51.1,45,14.89,-31.66,-34.4
MAJORITY_3,msvr_direction+cycle_direction+entropy_gate,msvr_direction+cycle_direction+entropy_gate,3,1.38,55.6,54,64.65,-40.2,0.62,45.2,31,14.31,-26.39,-55.1
MAJORITY,msvr_direction+lr_direction,msvr_direction+lr_direction,2,1.28,43.2,37,59.22,-49.77,0.62,47.4,19,15.43,-36.7,-51.6
MAJORITY_3,msvr_direction+lr_direction+entropy_gate,msvr_direction+lr_direction+entropy_gate,3,1.28,43.2,37,59.22,-49.77,0.62,47.4,19,15.43,-36.7,-51.6
MAJORITY,msvr_direction+cycle_direction,msvr_direction+cycle_direction,2,1.38,55.6,54,64.65,-40.2,0.62,45.2,31,14.31,-26.39,-55.1
MAJORITY,cycle_direction+trend_filter,cycle_direction+trend_filter,2,0.85,59.6,47,31.15,-50.85,0.61,52.4,21,15.03,-27.46,-28.2
MAJORITY_3,lr_direction+cycle_direction+entropy_gate,lr_direction+cycle_direction+entropy_gate,2,0.66,51.4,70,23.79,-71.26,0.61,62.5,24,18.4,-51.02,-7.6
OR,ichimoku_or_entropy_gate,entropy_gate,1,0.62,0.0,0,20.5,-76.72,0.59,0.0,0,18.21,-51.27,-4.8
MAJORITY,msvr_direction+vol_direction,msvr_direction+vol_direction,3,1.29,64.0,25,36.73,-23.05,0.59,30.8,13,9.81,-15.43,-54.3
OR,ichimoku_or_volume_direction,volume_direction,1,0.69,38.9,36,26.04,-81.58,0.58,44.4,18,16.17,-37.17,-15.9
MAJORITY,msvr_direction+lr_direction,msvr_direction+lr_direction,3,1.5,80.6,31,57.13,-24.54,0.55,42.9,14,8.4,-16.59,-63.3
OR,ichimoku_or_msvr_direction,msvr_direction,1,1.12,32.1,28,54.54,-59.21,0.54,25.0,16,14.01,-32.94,-51.8
OR,ichimoku_or_smooth_direction,smooth_direction,1,0.82,37.3,59,34.9,-77.92,0.54,41.4,29,14.26,-38.42,-34.1
MAJORITY_3,msvr_direction+lr_direction+cycle_direction,msvr_direction+lr_direction+cycle_direction,2,0.98,46.2,52,43.19,-61.65,0.53,43.8,32,13.05,-33.52,-45.9
MAJORITY_3,lr_direction+cycle_direction+trend_filter,lr_direction+cycle_direction+trend_filter,2,0.64,50.0,54,21.21,-59.3,0.52,51.7,29,13.52,-36.2,-18.8
EXIT_FILTER,ichimoku_exit_msvr_direction,msvr_direction,1,1.4,46.7,195,63.7,-50.43,0.52,49.5,101,10.19,-26.88,-62.9
MAJORITY_3,msvr_direction+cycle_direction+vol_direction,msvr_direction+cycle_direction+vol_direction,2,0.71,46.8,62,26.43,-69.19,0.48,42.9,28,11.38,-34.11,-32.4
MAJORITY,smooth_direction+lr_direction,smooth_direction+lr_direction,2,1.04,44.7,47,44.06,-59.56,0.48,45.8,24,10.35,-31.04,-53.8
MAJORITY_3,msvr_direction+lr_direction+cycle_direction,msvr_direction+lr_direction+cycle_direction,3,1.13,57.4,61,43.05,-36.1,0.47,46.7,30,8.72,-26.99,-58.4
MAJORITY,msvr_direction+trend_filter,msvr_direction+trend_filter,2,1.5,46.2,13,72.08,-39.83,0.45,41.7,12,9.6,-27.77,-70.0
MAJORITY_3,msvr_direction+lr_direction+trend_filter,msvr_direction+lr_direction+trend_filter,2,1.13,37.5,32,52.1,-57.52,0.43,50.0,22,9.64,-37.02,-61.9
EXIT_FILTER,ichimoku_exit_er_gate,er_gate,1,0.91,52.0,244,34.5,-49.93,0.41,51.0,96,7.56,-27.14,-54.9
OR,ichimoku_or_bb_filter,bb_filter,1,0.57,49.1,57,17.05,-79.75,0.4,53.6,28,8.22,-45.18,-29.8
MAJORITY_3,msvr_direction+lr_direction+entropy_gate,msvr_direction+lr_direction+entropy_gate,2,0.75,28.6,28,29.68,-68.92,0.4,46.7,15,8.24,-44.86,-46.7
MAJORITY,msvr_direction+vol_direction,msvr_direction+vol_direction,2,1.18,42.9,35,57.25,-59.09,0.39,30.8,13,7.33,-28.32,-66.9
MAJORITY_3,lr_direction+cycle_direction+vol_direction,lr_direction+cycle_direction+vol_direction,2,0.39,53.8,78,6.44,-71.46,0.39,58.8,34,8.06,-47.26,0.0
MAJORITY_3,msvr_direction+lr_direction+vol_direction,msvr_direction+lr_direction+vol_direction,2,0.88,39.4,33,37.33,-68.6,0.37,43.8,16,7.25,-49.91,-58.0
EXIT_FILTER,ichimoku_exit_volume_direction,volume_direction,1,1.01,53.0,183,39.9,-49.03,0.35,46.2,104,5.69,-25.82,-65.3
MAJORITY_3,msvr_direction+lr_direction+trend_filter,msvr_direction+lr_direction+trend_filter,3,1.39,56.0,25,59.17,-27.6,0.34,60.0,15,5.52,-19.65,-75.5
MAJORITY_3,msvr_direction+smooth_direction+cycle_direction,msvr_direction+smooth_direction+cycle_direction,3,1.31,45.3,64,53.97,-32.24,0.33,37.5,32,5.22,-32.02,-74.8
EXIT_FILTER,ichimoku_exit_vol_direction,vol_direction,1,0.81,51.8,166,28.16,-61.72,0.32,51.4,35,5.15,-27.63,-60.5
AND,ichimoku+bb_filter,bb_filter,1,0.66,60.6,66,20.42,-49.31,0.32,41.7,24,5.12,-21.21,-51.5
OR,ichimoku_or_trend_filter,trend_filter,1,0.68,42.9,7,24.19,-71.96,0.3,66.7,3,4.1,-41.41,-55.9
MAJORITY_3,msvr_direction+lr_direction+vol_direction,msvr_direction+lr_direction+vol_direction,3,1.11,52.0,50,45.58,-48.89,0.27,42.1,19,3.74,-34.2,-75.7
EXIT_FILTER,ichimoku_exit_smooth_direction,smooth_direction,1,0.79,50.2,235,27.47,-51.0,0.25,43.4,99,3.15,-29.3,-68.4
MAJORITY,lr_direction+entropy_gate,lr_direction+entropy_gate,2,0.64,43.3,30,21.52,-74.17,0.24,71.4,14,1.93,-45.17,-62.5
